851,31520.6
851.5,31951.3
852,32382.2
852.5,32813
853,33244
853.5,33675
854,34106
854.5,34537.1
855,34968.2
855.5,35399.4
856,35830.7
856.5,36262
857,36693.3
857.5,37124.7
858,37556.1
858.5,37987.6
859,38419.1
859.5,38850.6
860,39282.2
860.5,39713.9
861,40145.5
861.5,40577.3
862,41009
862.5,41440.8
863,41872.7
863.5,42304.6
864,42736.5
864.5,43168.4
865,43600.4
865.5,44032.5
866,44464.6
866.5,44896.7
867,45328.8
867.5,45761
868,46193.2
868.5,46625.5
869,47057.8
869.5,47490.1
870,47922.5
870.5,48354.9
871,48787.3
871.5,49219.8
872,49652.3
872.5,50084.8
873,50517.4
873.5,50950
874,51382.7
874.5,51815.3
875,52248
875.5,52680.8
876,53113.5
876.5,53546.4
877,53979.2
877.5,54412.1
878,54845
878.5,55277.9
879,55710.9
879.5,56143.9
880,56576.9
880.5,57010
881,57443.1
881.5,57876.2
882,58309.4
882.5,58742.5
883,59175.8
883.5,59609
884,60042.3
884.5,60475.6
885,60908.9
885.5,61342.3
886,61775.7
886.5,62209.2
887,62642.6
887.5,63076.1
888,63509.6
888.5,63943.2
889,64376.8
889.5,64810.4
890,65244
890.5,65677.7
891,66111.4
891.5,66545.1
892,66978.9
892.5,67412.7
893,67846.5
893.5,68280.3
894,68714.2
894.5,69148.1
895,69582.1
895.5,70016
896,70450
896.5,70884
897,71318.1
897.5,71752.1
898,72186.2
898.5,72620.4
899,73054.5
899.5,73488.7
900,73922.9
900.5,74357.2
901,74791.4
901.5,75225.7
902,75660.1
902.5,76094.4
